gdp_cap,life_exp,pop_x2
974.580,43.828,63.780
5937.030,76.423,7.201
6223.367,72.301,66.666
4797.231,42.731,24.841
12779.380,75.320,80.604
34435.367,81.235,40.868
36126.493,79.829,16.400
29796.048,75.635,1.417
1391.254,64.062,300.897
33692.605,79.441,20.784
1441.285,56.728,16.157
3822.137,65.554,18.238
7446.299,74.852,9.104
12569.852,50.728,3.278
9065.801,72.390,380.021
10680.793,73.005,14.646
1217.033,52.295,28.652
430.071,49.580,16.781
1713.779,59.723,28.264
2042.095,50.430,35.393
36319.235,80.653,66.780
706.017,44.741,8.738
1704.064,50.651,20.478
13171.639,78.553,32.569
4959.115,72.961,2637.366
7006.580,72.889,88.455
986.148,65.152,1.422
277.552,46.462,129.214
3632.558,55.322,7.601
9645.061,78.782,8.268
1544.750,48.328,36.027
14619.223,75.748,8.987
8948.103,78.273,22.834
22833.309,76.486,20.457
35278.419,78.332,10.936
2082.482,54.791,0.993
6025.375,72.235,18.639
6873.262,74.994,27.511
5581.181,71.338,160.529
5728.354,71.878,13.879
12154.090,51.579,1.102
641.370,58.040,9.813
690.806,52.947,153.024
33207.084,79.313,10.477
30470.017,80.657,122.168
13206.485,56.735,2.910
752.750,59.448,3.377
32170.374,79.406,164.802
1327.609,60.022,45.747
27538.412,79.483,21.413
5186.050,70.259,25.146
942.654,56.007,19.896
579.232,46.388,2.944
1201.637,60.916,17.006
3548.331,70.198,14.968
39724.979,82.208,13.961
18008.944,73.338,19.912
36180.789,81.757,0.604
2452.210,64.698,2220.793
3540.652,70.650,447.094
11605.714,70.964,138.907
4471.062,59.545,54.999
40675.996,78.885,8.218
25523.277,80.745,12.853
28569.720,80.546,116.295
7320.880,72.567,5.560
31656.068,82.603,254.936
4519.461,72.535,12.106
1463.249,54.110,71.220
1593.065,67.297,46.603
23348.140,78.623,98.090
47306.990,77.588,5.011
10461.059,71.993,7.843
1569.331,42.592,4.025
414.507,45.678,6.388
12057.499,73.952,12.074
1044.770,59.443,38.335
759.350,48.303,26.654
12451.656,74.241,49.643
1042.582,54.467,24.064
1803.151,64.164,6.540
10956.991,72.801,2.502
11977.575,76.195,217.402
3095.772,66.803,5.748
9253.896,74.543,1.369
3820.175,71.164,67.514
823.686,42.082,39.903
944.000,62.069,95.524
4811.060,52.906,4.110
1091.360,63.785,57.804
36797.933,79.762,33.141
25185.009,80.204,8.232
2749.321,72.899,11.351
619.677,56.867,25.790
2013.977,46.859,270.062
49357.190,80.196,9.256
22316.193,75.640,6.410
2605.948,65.483,338.541
9809.186,75.537,6.484
4172.838,71.752,13.334
7408.906,71.421,57.350
3190.481,71.688,182.155
15389.925,75.563,77.036
20509.648,78.098,21.286
19328.709,78.746,7.885
7670.123,76.442,1.596
10808.476,72.476,44.552
863.088,46.242,17.721
1598.435,65.528,0.399
21654.832,72.777,55.202
1712.472,63.062,24.535
9786.535,74.002,20.301
862.541,42.568,12.289
47143.180,79.972,9.106
18678.314,74.663,10.895
25768.258,77.926,4.018
926.141,48.159,18.238
9269.658,49.339,87.996
28821.064,80.941,80.896
3970.095,72.396,40.756
2602.395,58.556,84.586
4513.481,39.613,2.266
33859.748,80.884,18.062
37506.419,81.701,15.109
4184.548,74.143,38.629
28718.277,78.400,46.349
1107.482,52.517,76.279
7458.396,70.616,130.136
882.970,58.420,11.403
18008.509,69.819,2.113
7092.923,73.923,20.552
8458.276,71.777,142.317
1056.380,51.542,58.341
33203.261,79.425,121.552
42951.653,78.242,602.280
10611.463,76.384,6.895
11415.806,73.747,52.169
2441.576,74.249,170.525
3025.350,73.422,8.037
2280.770,62.698,44.423
1271.212,42.384,23.492
469.709,43.487,24.622